matrixA_dir,matrixB_dir,matrixC_dir,matrixX_dir
../normalMatrixData/train/matrixABC/matrixA0.csv,../normalMatrixData/train/matrixABC/matrixB0.csv,../normalMatrixData/train/matrixABC/matrixC0.csv,../normalMatrixData/train/matrixX/matrixX0.csv
../normalMatrixData/train/matrixABC/matrixA1.csv,../normalMatrixData/train/matrixABC/matrixB1.csv,../normalMatrixData/train/matrixABC/matrixC1.csv,../normalMatrixData/train/matrixX/matrixX1.csv
../normalMatrixData/train/matrixABC/matrixA2.csv,../normalMatrixData/train/matrixABC/matrixB2.csv,../normalMatrixData/train/matrixABC/matrixC2.csv,../normalMatrixData/train/matrixX/matrixX2.csv
../normalMatrixData/train/matrixABC/matrixA3.csv,../normalMatrixData/train/matrixABC/matrixB3.csv,../normalMatrixData/train/matrixABC/matrixC3.csv,../normalMatrixData/train/matrixX/matrixX3.csv
../normalMatrixData/train/matrixABC/matrixA4.csv,../normalMatrixData/train/matrixABC/matrixB4.csv,../normalMatrixData/train/matrixABC/matrixC4.csv,../normalMatrixData/train/matrixX/matrixX4.csv
../normalMatrixData/train/matrixABC/matrixA5.csv,../normalMatrixData/train/matrixABC/matrixB5.csv,../normalMatrixData/train/matrixABC/matrixC5.csv,../normalMatrixData/train/matrixX/matrixX5.csv
../normalMatrixData/train/matrixABC/matrixA6.csv,../normalMatrixData/train/matrixABC/matrixB6.csv,../normalMatrixData/train/matrixABC/matrixC6.csv,../normalMatrixData/train/matrixX/matrixX6.csv
../normalMatrixData/train/matrixABC/matrixA7.csv,../normalMatrixData/train/matrixABC/matrixB7.csv,../normalMatrixData/train/matrixABC/matrixC7.csv,../normalMatrixData/train/matrixX/matrixX7.csv
../normalMatrixData/train/matrixABC/matrixA8.csv,../normalMatrixData/train/matrixABC/matrixB8.csv,../normalMatrixData/train/matrixABC/matrixC8.csv,../normalMatrixData/train/matrixX/matrixX8.csv
../normalMatrixData/train/matrixABC/matrixA9.csv,../normalMatrixData/train/matrixABC/matrixB9.csv,../normalMatrixData/train/matrixABC/matrixC9.csv,../normalMatrixData/train/matrixX/matrixX9.csv
../normalMatrixData/train/matrixABC/matrixA10.csv,../normalMatrixData/train/matrixABC/matrixB10.csv,../normalMatrixData/train/matrixABC/matrixC10.csv,../normalMatrixData/train/matrixX/matrixX10.csv
../normalMatrixData/train/matrixABC/matrixA11.csv,../normalMatrixData/train/matrixABC/matrixB11.csv,../normalMatrixData/train/matrixABC/matrixC11.csv,../normalMatrixData/train/matrixX/matrixX11.csv
../normalMatrixData/train/matrixABC/matrixA12.csv,../normalMatrixData/train/matrixABC/matrixB12.csv,../normalMatrixData/train/matrixABC/matrixC12.csv,../normalMatrixData/train/matrixX/matrixX12.csv
../normalMatrixData/train/matrixABC/matrixA13.csv,../normalMatrixData/train/matrixABC/matrixB13.csv,../normalMatrixData/train/matrixABC/matrixC13.csv,../normalMatrixData/train/matrixX/matrixX13.csv
../normalMatrixData/train/matrixABC/matrixA14.csv,../normalMatrixData/train/matrixABC/matrixB14.csv,../normalMatrixData/train/matrixABC/matrixC14.csv,../normalMatrixData/train/matrixX/matrixX14.csv
../normalMatrixData/train/matrixABC/matrixA15.csv,../normalMatrixData/train/matrixABC/matrixB15.csv,../normalMatrixData/train/matrixABC/matrixC15.csv,../normalMatrixData/train/matrixX/matrixX15.csv
